,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.018277406692504883,0.0,0.0015027046203613282,0.0030054092407226568,50,1,"{'max_samples': 50, 'n_estimators': 1}",-3474.2574758178243,-2281.60581436634,-2258.7637885897693,-2909.27157800256,-5409.765088536995,-3266.732749062698,1161.8871814254833,791
1,0.03304896354675293,0.00924427495580129,0.0036533832550048827,0.0029829749365300937,50,2,"{'max_samples': 50, 'n_estimators': 2}",-2865.7145203345513,-2771.3989060944486,-2422.3940307309267,-2950.9504377143494,-4149.4369986498,-3031.978978704815,586.9272022916505,788
2,0.04546899795532226,0.0033734018853250774,0.009450244903564452,0.006843785020133363,50,3,"{'max_samples': 50, 'n_estimators': 3}",-2493.79997778801,-1888.453563976153,-2730.758451156581,-3649.1803452186114,-3077.916553360193,-2768.02177829991,586.9755679307862,782
3,0.05816020965576172,0.0032331319166070556,0.005551195144653321,0.0015047564760226411,50,4,"{'max_samples': 50, 'n_estimators': 4}",-2074.7272662461487,-2003.7972119484573,-2908.0040225985126,-3146.776026321396,-2754.884625001924,-2577.637830423287,457.5343974224138,776
4,0.053991842269897464,0.006304903828548836,0.008825159072875977,0.003502935511085596,50,5,"{'max_samples': 50, 'n_estimators': 5}",-2314.725134063147,-2026.832616255949,-2880.4762497721504,-3375.57559491554,-2669.2014867101634,-2653.36221634339,464.8953095344449,781
5,0.058054637908935544,0.0015979721811335366,0.007330131530761719,0.0043390660977188425,50,6,"{'max_samples': 50, 'n_estimators': 6}",-2138.0118768055604,-1964.2969149857938,-2910.604636554945,-3538.831693974798,-2338.4988452220473,-2578.048793508629,576.4382368907161,777
6,0.06702327728271484,0.0039353052080446345,0.012089204788208009,0.002470691187403557,50,7,"{'max_samples': 50, 'n_estimators': 7}",-2156.554777171988,-1868.9890670763623,-2898.946404348924,-3240.5195386542005,-2279.662488128236,-2488.9344550759424,504.30015406295786,767
7,0.07430510520935059,0.002483982968270289,0.002730846405029297,0.003767528525896809,50,8,"{'max_samples': 50, 'n_estimators': 8}",-2215.4964133888047,-1752.8768948426018,-3095.250860262013,-3406.42698078904,-2212.912760201759,-2536.5927818968435,614.9459501484486,771
8,0.08641891479492188,0.00795898557200653,0.010099363327026368,0.005766827666123403,50,9,"{'max_samples': 50, 'n_estimators': 9}",-1901.593818431144,-1657.7811050129098,-3240.8207193640787,-3331.0362006528385,-2160.838010361747,-2458.4139707645436,694.7291553296474,762
9,0.08901453018188477,0.0036937114044575873,0.007177543640136719,0.0016902999182574882,50,10,"{'max_samples': 50, 'n_estimators': 10}",-1753.5070872991632,-1726.2369011761207,-3093.745268031779,-3374.858134142892,-2173.9207015979237,-2424.453618449576,685.8079366732062,755
10,0.09530849456787109,0.003758134824845356,0.007525444030761719,0.0054336907168798885,50,11,"{'max_samples': 50, 'n_estimators': 11}",-1637.3310683451969,-1794.4252709507855,-3166.1116651463653,-3406.562795273904,-2208.8986814828777,-2442.665896239826,717.7601572261733,758
11,0.11208739280700683,0.004584181777075276,0.007765054702758789,0.0022393432366624253,50,12,"{'max_samples': 50, 'n_estimators': 12}",-1503.9960613809014,-1905.7005916456123,-3017.80811237343,-3365.908182981744,-2301.1180647457145,-2418.9062026254805,688.4491062405418,753
12,0.11539850234985352,0.00391415420993274,0.010454511642456055,0.003457809495958308,50,13,"{'max_samples': 50, 'n_estimators': 13}",-1383.7954275389015,-1923.4390660126294,-2923.877387554214,-3382.1839195777734,-2376.381734814787,-2397.9355070996608,707.0291843703803,751
13,0.13821010589599608,0.01496989437004793,0.012819671630859375,0.005449969906571523,50,14,"{'max_samples': 50, 'n_estimators': 14}",-1280.9329779267678,-1829.6584973446163,-2940.5872588817383,-3371.0439295720666,-2501.30451366461,-2384.7054354779602,751.2462063979178,749
14,0.1369004726409912,0.0060844577730061675,0.010032939910888671,0.0026546557541517967,50,15,"{'max_samples': 50, 'n_estimators': 15}",-1290.813835773509,-1683.9139104798112,-2984.774344196916,-3384.8974932740957,-2349.787409277455,-2338.837398600357,779.5991695251521,716
15,0.14756851196289061,0.009388529336000755,0.010319185256958009,0.0017434210753832888,50,16,"{'max_samples': 50, 'n_estimators': 16}",-1229.6559865274323,-1754.3762149112943,-2954.815344089727,-3373.6976844055766,-2312.765755638794,-2325.062197114565,777.4283079847709,660
16,0.17302098274230956,0.015222068334235377,0.010733079910278321,0.003191431043998463,50,17,"{'max_samples': 50, 'n_estimators': 17}",-1353.2901835796133,-1805.931825217463,-3028.956522348205,-3388.337241169829,-2267.4274660289566,-2368.788647668813,752.8107304707588,748
17,0.16640028953552247,0.011886123712012375,0.008893918991088868,0.002788248558576468,50,18,"{'max_samples': 50, 'n_estimators': 18}",-1308.4972337633583,-1816.1950194821343,-3013.6777206394986,-3339.1139961603085,-2291.143665435685,-2353.725527096197,747.2462852280144,735
18,0.16619329452514647,0.006284340119435133,0.014148855209350586,0.0036897707848160773,50,19,"{'max_samples': 50, 'n_estimators': 19}",-1308.8273637672598,-1809.952521653007,-2849.6004612518004,-3330.9316158417555,-2269.5734668915056,-2313.7770858810654,719.3645978002006,611
19,0.1805553436279297,0.009448934460172803,0.01367487907409668,0.002759277184819658,50,20,"{'max_samples': 50, 'n_estimators': 20}",-1313.7020580784929,-1742.390604587844,-2790.672636636208,-3450.815102118845,-2218.8901903066426,-2303.294118345607,755.6945743948364,582
20,0.1989205837249756,0.008092839158659836,0.011995315551757812,0.0017851485417647002,50,21,"{'max_samples': 50, 'n_estimators': 21}",-1208.857171825172,-1737.0444630388913,-2844.4711034984084,-3417.2270747732136,-2232.3756075370393,-2287.9950841345453,781.7939876533869,552
