,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.015080022811889648,0.0027345757126052417,0.0012224197387695312,0.0009984857418295356,20,1,"{'max_samples': 20, 'n_estimators': 1}",-2929.4778241285308,-4976.782843070988,-3204.70901815293,-7275.247588309988,-2572.8228671653937,-4191.808028165566,1750.0137103594525,390
1,0.015654850006103515,0.003572704714537911,0.0031938076019287108,0.002675749317579537,20,2,"{'max_samples': 20, 'n_estimators': 2}",-3702.3310912021284,-2924.2588931104583,-5195.67398653223,-4721.663084080433,-2126.863199240511,-3734.1580508331513,1127.079532418769,388
2,0.01941084861755371,0.0018593922133891615,0.0011989116668701173,0.001468361614004992,20,3,"{'max_samples': 20, 'n_estimators': 3}",-2549.9705598597056,-1789.7332312959231,-3512.5533215318146,-4027.1129821263685,-1792.8926114304807,-2734.452541248859,904.3754880779765,382
3,0.02284374237060547,0.0032003799965223817,0.004136228561401367,0.003122458678846238,20,4,"{'max_samples': 20, 'n_estimators': 4}",-2484.734444140774,-2014.0424280507425,-3059.6526221530225,-4015.6500522660463,-1876.8403819041498,-2690.183985702947,781.5717631648937,380
4,0.0377619743347168,0.019730667234386892,0.004844284057617188,0.0042183605725160086,20,5,"{'max_samples': 20, 'n_estimators': 5}",-2778.679516580921,-2010.4421315507527,-2870.3178936330137,-3929.513986239593,-1751.1746178989542,-2668.025629180647,763.878413269123,379
5,0.03207597732543945,0.0007882229947857815,0.0034361839294433593,0.0007995876500353554,20,6,"{'max_samples': 20, 'n_estimators': 6}",-2609.364841224819,-1843.958385585732,-2989.3184557565633,-3839.8209009650154,-1727.069793516927,-2601.9064754098117,777.4831601504711,376
6,0.035939693450927734,0.0029876494499730785,0.0036404609680175783,0.0037411295471247168,20,7,"{'max_samples': 20, 'n_estimators': 7}",-2509.733913553051,-1771.7727788404518,-3000.001657538557,-3590.3658678885186,-1813.2787862799676,-2537.030600820109,697.7160907555487,374
7,0.04422364234924316,0.005108167261044699,0.003634738922119141,0.0020419035825819413,20,8,"{'max_samples': 20, 'n_estimators': 8}",-2183.2892008701383,-1560.3625583264914,-2890.6239717670082,-3677.2010200298973,-1601.1251295313957,-2382.520376104986,807.537281314746,368
8,0.04791254997253418,0.0026730031677253065,0.004725074768066407,0.002533484786393499,20,9,"{'max_samples': 20, 'n_estimators': 9}",-2008.8517031067645,-1577.3667634011595,-3162.9939702664497,-3426.6651473347583,-1444.2768904061572,-2324.0308949030577,818.5931459644647,363
9,0.052361488342285156,0.006710576260433151,0.005054283142089844,0.002933196835070633,20,10,"{'max_samples': 20, 'n_estimators': 10}",-2233.156930460331,-1469.2279460081277,-3079.6540953585745,-3568.821481362641,-1458.1860877264455,-2361.809308183224,848.7599627247868,367
10,0.056420183181762694,0.0030032894555459388,0.007316398620605469,0.002187738409204532,20,11,"{'max_samples': 20, 'n_estimators': 11}",-2091.1086567166853,-1329.002088929045,-2955.9482402004483,-3426.624968899215,-1403.3290170373339,-2241.202594356546,833.397579562998,352
