,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05095648765563965,0.0,0.0019039630889892579,0.0038079261779785157,0.01,2,5,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 5}",-3756.3575511518875,-4500.680108878332,-6584.796141530885,-6714.879146361862,-3139.023349916476,-4939.147259567888,1462.400424175968,1200
1,0.06145467758178711,0.0066573053897618405,0.009428882598876953,0.0060471863620089085,0.01,2,6,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 6}",-3694.622260434001,-4426.54158572137,-6527.06722834052,-6643.773753742831,-3096.2183887964684,-4877.644643407038,1457.1425685874774,1198
2,0.060288286209106444,0.005520654532688299,0.005252838134765625,0.003259963958234215,0.01,2,7,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 7}",-3635.684160381666,-4366.26998781325,-6485.1920397128615,-6571.839336908126,-3054.615730973653,-4822.720251157911,1453.7417337261477,1195
3,0.0595433235168457,0.00484681920133448,0.007762908935546875,0.0022799125849473885,0.01,2,8,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 8}",-3576.5236452736035,-4289.687158536797,-6429.276165532684,-6503.59606281994,-3015.1466147581896,-4762.8459293842425,1448.6471922147139,1191
4,0.06496467590332031,0.005293036150914875,0.008078956604003906,0.005752293207022927,0.01,2,9,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 9}",-3520.0503699235464,-4235.7945804317005,-6388.91237288338,-6434.46569953443,-2975.7063420852705,-4710.985872971666,1445.0708798473784,1187
5,0.0775296688079834,0.006962802315048885,0.01020512580871582,0.004231416479331477,0.01,2,10,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 10}",-3463.3622747573463,-4162.588274129108,-6334.7461781940665,-6368.970951729201,-2938.333324231761,-4653.600200608297,1440.0450063124558,1183
6,0.08087997436523438,0.0027388879773681753,0.0035090923309326174,0.0024518619773781737,0.01,2,11,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 11}",-3407.951112899381,-4108.257760411118,-6295.83786105967,-6302.534213557678,-2900.961074194611,-4603.108404424491,1436.9387418594583,1179
7,0.08523831367492676,0.002815510318615457,0.005907773971557617,0.00248731549908509,0.01,2,12,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 12}",-3353.474081891646,-4038.5271934907732,-6253.420930076272,-6239.678874190378,-2865.592273298708,-4550.138670589556,1434.3755129695985,1177
8,0.08060688972473144,0.009959513533602136,0.011131858825683594,0.0024183369216710738,0.01,2,13,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 13}",-3300.2121964061203,-3970.678825719071,-6214.924304341726,-6177.5087442383065,-2830.197561661379,-4498.70432647332,1432.6831069741045,1173
9,0.09144320487976074,0.008517945836862002,0.00545806884765625,0.0032238125293054098,0.01,2,14,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 14}",-3247.861335053206,-3924.9306235588037,-6164.97114187608,-6128.063627968607,-2796.744877804746,-4452.514321252289,1429.0612070043298,1169
10,0.1041222095489502,0.004644184316863683,0.005826616287231445,0.0011332845759191052,0.01,2,15,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 15}",-3203.4339569992794,-3860.069226062073,-6116.093209360599,-6068.927456337091,-2763.240943030768,-4402.352958357961,1423.554903903787,1166
11,0.08757295608520507,0.005199963561049039,0.00553426742553711,0.0039166049966373575,0.01,2,16,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 16}",-3154.2322282734904,-3814.3056275615054,-6066.726546534053,-6010.431882403857,-2731.619905978151,-4355.463238150211,1417.0404362692511,1162
12,0.09258742332458496,0.005039157087860754,0.005534219741821289,0.0016078906791717655,0.01,2,17,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 17}",-3103.697307888192,-3752.3618538133533,-6019.556229571209,-5964.276317710386,-2699.9235598286186,-4307.963053762351,1415.4620815780909,1159
13,0.10278992652893067,0.007845054971044648,0.004194879531860351,0.00293902687438027,0.01,2,18,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 18}",-3062.961114599632,-3710.685267453646,-5971.74167963053,-5904.646008742288,-2670.053183255258,-4264.017450736271,1406.941293795442,1155
14,0.11872715950012207,0.01372386304917641,0.007998275756835937,0.0019041140392433472,0.01,2,19,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 19}",-3015.3879785355352,-3651.4959705050533,-5938.189990321093,-5850.11544398109,-2640.08466731956,-4219.054810132466,1405.6932915023303,1151
15,0.13827939033508302,0.007172721470746867,0.0066735267639160155,0.002120120333056607,0.01,2,20,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 20}",-2976.250534919168,-3611.7548997484228,-5893.398366489669,-5796.182735605735,-2611.887308830462,-4177.894769118691,1398.474248459618,1148
16,0.13489513397216796,0.005318070969394293,0.005507087707519532,0.005614912424968119,0.01,2,21,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 21}",-2929.3762816977332,-3555.2113650807596,-5849.540638508954,-5754.092453081426,-2583.5701567551496,-4134.3581790248045,1396.9771567837709,1144
17,0.13336658477783203,0.0038331560690682883,0.007842159271240235,0.003969432968685813,0.01,2,22,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 22}",-2882.1707643996015,-3515.363906985333,-5804.4139804856,-5698.8655942422,-2556.971383467151,-4091.557125915977,1390.4593855621977,1142
18,0.14149532318115235,0.0050046678963425965,0.008499336242675782,0.0018241356556808945,0.01,2,23,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 23}",-2844.405457195137,-3461.404037482492,-5762.090412168928,-5658.6542416816055,-2530.232288657689,-4051.35728743717,1387.703869184379,1138
19,0.1530850887298584,0.006515944911404347,0.005627346038818359,0.004958873168795554,0.01,2,24,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 24}",-2802.0762017908446,-3425.24836564508,-5718.367880244929,-5608.888357157413,-2505.160748124277,-4011.9483105925087,1381.3400279063753,1134
20,0.15761795043945312,0.006432321521647584,0.009057378768920899,0.002618069701715511,0.01,2,25,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 25}",-2756.5802447039637,-3373.7272886775454,-5684.324525064893,-5560.556570762371,-2479.9294367033076,-3971.023613182416,1379.6385378444918,1130
21,0.16579136848449708,0.003205903491350946,0.004708766937255859,0.0026911854604287806,0.01,2,26,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 26}",-2722.0301794987467,-3342.156684160036,-5644.072188725234,-5523.067402573214,-2456.3167329708776,-3937.5286375856217,1374.9266917275543,1125
22,0.17706561088562012,0.008862430048789402,0.003712892532348633,0.005134819794560091,0.01,2,27,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 27}",-2681.1036767356436,-3293.0493779552353,-5599.868706895975,-5476.24369072672,-2432.525841785163,-3896.5582588197467,1369.789492938566,1122
23,0.19892578125,0.011207583478066396,0.005281782150268555,0.001085013899668786,0.01,2,28,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 28}",-2647.917564629837,-3263.21468642914,-5558.837293693883,-5430.773257073398,-2410.490746274272,-3862.246709620106,1362.3307347575178,1119
24,0.1806502342224121,0.007462818844358856,0.006260490417480469,0.0026869327301132628,0.01,2,29,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 29}",-2605.7656751969007,-3216.4254541071323,-5520.5710120074655,-5382.386186693678,-2387.9985628067657,-3822.6293781623885,1358.1055289782905,1115
25,0.18902034759521485,0.007155784060949859,0.0042708396911621095,0.0025496887243419476,0.01,2,30,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 30}",-2567.3427472564276,-3170.9830424264956,-5482.639259644934,-5348.2591644878175,-2367.107910605467,-3787.266424884228,1356.160504833304,1112
26,0.19145092964172364,0.004560752946762648,0.005324363708496094,0.003206520835982525,0.01,2,31,"{'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 31}",-2535.3080402383416,-3140.4042613356823,-5445.841821946112,-5305.088214948621,-2345.8592400069974,-3754.5003156951507,1350.0201756053764,1105
