,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_features,param_max_samples,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.13300557136535646,0.006634440933993597,0.010163974761962891,0.001997067167541874,50,50,1,20,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 20}",-1563.4264837040555,-1970.2126249535934,-3959.2580749843173,-3622.209881249471,-1940.454174522421,-2611.112247882772,979.591305987142,3467
1,0.13005304336547852,0.013689649694484652,0.008447790145874023,0.0009552557302782714,50,50,1,21,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 21}",-1530.163533481445,-1987.3640760625156,-4087.9624230736817,-3587.699204314538,-1959.97548195865,-2630.632943778166,1011.3747306064155,3489
2,0.12583165168762206,0.00788355603838122,0.008653402328491211,0.003627106855227632,50,50,1,22,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 22}",-1516.3751868212532,-1989.0542659731695,-3996.1962486723614,-3570.894372753908,-1970.159799963485,-2608.5359748368355,983.4461486796516,3459
3,0.12647066116333008,0.006168405072165357,0.007729053497314453,0.0006469930501357434,50,50,1,23,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 23}",-1447.116813662284,-1984.0878874566777,-3927.0960773130537,-3593.802820359727,-1968.6000369240105,-2584.1407271431503,985.365287250068,3389
4,0.12632966041564941,0.006117740262261156,0.008806991577148437,0.0013666524086762334,50,50,1,24,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 24}",-1381.2535716495217,-2024.005020269605,-3824.6849678561616,-3605.858758122208,-1963.6188112591778,-2559.8842258313352,972.1782579108719,3290
5,0.13021459579467773,0.00596073957876497,0.008490371704101562,0.0009382436806254262,50,50,1,25,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 25}",-1454.5038436930147,-1966.6007462692062,-3764.6477445790697,-3616.4156633216544,-1955.7666797918278,-2551.586935530954,949.3343641888819,3244
6,0.13365507125854492,0.00334134773881236,0.008512592315673828,0.0006032106074246427,50,50,1,26,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 26}",-1453.7308187051658,-2048.6925236172183,-3711.5057712793982,-3646.818371707235,-1858.7091591943142,-2543.891328900666,946.880979662472,3218
7,0.14136838912963867,0.00391107955125268,0.010205554962158202,0.003216390343669959,50,50,1,27,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 27}",-1435.2774746498649,-2053.508507911437,-3647.791287776603,-3643.2057555618494,-1902.0835918790501,-2536.3733235557606,928.2480149301532,3184
8,0.1419663429260254,0.00469803595839294,0.01078791618347168,0.002713193957944134,50,50,1,28,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 28}",-1395.9671346770788,-2079.6811827365864,-3650.567681385761,-3696.237956459936,-1815.2485585813815,-2527.5405027681486,960.774672214559,3140
9,0.15149564743041993,0.005799851764316794,0.010356569290161132,0.004889820777944396,50,50,1,29,"{'max_features': 50, 'max_samples': 50, 'min_samples_leaf': 1, 'n_estimators': 29}",-1516.9682598379948,-2107.53366140878,-3738.902087744364,-3719.4411930272063,-1870.2271486514542,-2590.6144701339604,948.4572071179052,3411
